place_in_repository,sum_en,sum_kk,sum_mn,place_en,place_kk,place_mn,aimag,aimag_kk,aimag_mn
Bugat Sum,,,,,,,,,
Bulgan Sum,,,,,,,,,
Bulgan Sum center,,,,,,,,,
"Bulgan Sum, Dund Jargalant",,,,,,,,,
"Bulgan Sum, Dundtomort, Khargayt",,,,,,,,,
"Bulgan Sum, Dundtomort, Khorj",,,,,,,,,
"Bulgan Sum, Dundtömirt",,,,,,,,,
"Bulgan Sum, Ikh Jargalant",,,,,,,,,
"Bulgan Sum, Ikh Tömirt",,,,,,,,,
"Bulgan Sum, Indert",,,,,,,,,
"Bulgan Sum, Khuyten Khoshuu",,,,,,,,,
"Bulgan Sum, Qara Kol",,,,,,,,,
"Bulgan Sum, Saykhan",,,,,,,,,
"Bulgan Sum, Turgen",,,,,,,,,
"Bulgan Sum, Tuulait",,,,,,,,,
"Bulgan Sum, Tuulayt",,,,,,,,,
"Bulgan Sum, Tuulayt, Danzin Kharagai",,,,,,,,,
"Bulgan Sum, Tuulayt, Khujirlikh",,,,,,,,,
"Bulgan Sum, Ulaagchin",,,,,,,,,
"Bulgan Sum, Ulaandavaa",,,,,,,,,
"Bulgan Sum, Yolt",,,,,,,,,
"Bulgan, Dundtömirt",,,,,,,,,
Deluun Sum,,,,,,,,,
Deluun Sum center,,,,,,,,,
"Deluun Sum, Bulagt",,,,,,,,,
Delvvn Center,,,,,,,,,
Delvvn Sum,,,,,,,,,
Delvvn Sum center,,,,,,,,,
"Delvvn Sum, Bulagt",,,,,,,,,
Khovd,,,,,,,,,
Khovd Sum,,,,,,,,,
Khovd Sum Center,,,,,,,,,
"Khovd Sum, Buyan Bulag",,,,,,,,,
"Khovd Sum, Orgon Shireg",,,,,,,,,
"Khovd Sum, Ortasu",,,,,,,,,
"Khovd Sum, Tsaagaanburgas",,,,,,,,,
near Dayan Lake,,,,,,,,,
"Nogonnuur Sum, Basky Kopir",,,,,,,,,
"Nogoonnur Sum, Khara Mandai",,,,,,,,,
Nogoonnuur Sum,,,,,,,,,
Nogoonnuur Sum Baski Kopir,,,,,,,,,
"Nogoonnuur Sum, Baski Kopir",,,,,,,,,
"Nogoonnuur Sum, Basky Kopir",,,,,,,,,
"Nogoonnuur Sum, Bugat, Toshant",,,,,,,,,
"Nogoonnuur Sum, Burkitbay Tobe",,,,,,,,,
"Nogoonnuur Sum, Khara Manday",,,,,,,,,
"Nogoonnuur Sum, Khara Manday, Bastau",,,,,,,,,
"Nogoonnuur Sum, Khara Manday, Buyra",,,,,,,,,
"Nogoonnuur Sum, Khara Manday, Koskol",,,,,,,,,
"Nogoonnuur Sum, Khara Manday, Qara Tobe",,,,,,,,,
"Nogoonnuur Sum, Khiratbay Tobe",,,,,,,,,
"Nogoonnuur Sum, Khiratbey Tobe",,,,,,,,,
"Nogoonnuur Sum, Kire Jamat",,,,,,,,,
"Nogoonnuur Sum, Shirekt",,,,,,,,,
"Nogoonnuur Sum, Temir Kopir",,,,,,,,,
"Nogoonnuur Sum, Temir Kopir.",,,,,,,,,
"Nogoonnuur Sum, Toshant",,,,,,,,,
"Nogoonnuur Sum, Zoolon",,,,,,,,,
"Nogoonnuur, Khara Manday, Koskol",,,,,,,,,
"Nogoonuur Sum, Khara Manday",,,,,,,,,
"Recorded in Nogoonnuur Sum, Khara Manday, Koskol.",,,,,,,,,
Sagsai center,,,,,,,,,
Sagsai Sum Center,,,,,,,,,
"Sagsai Sum, Dayan",,,,,,,,,
"Sagsai, Dayan",,,,,,,,,
Sagsay Sum,,,,,,,,,
Sagsay Sum Center,,,,,,,,,
"Sagsay Sum, Akkhorim",,,,,,,,,
"Sagsay Sum, Arkhalykh",,,,,,,,,
"Sagsay Sum, Dayan Arkhalykh",,,,,,,,,
"Sagsay Sum, Dayan Esik",,,,,,,,,
"Sagsay Sum, Eki Boken",,,,,,,,,
"Sagsay Sum, Ekiboken",,,,,,,,,
"Sagsay Sum, Jalanash",,,,,,,,,
"Sagsay Sum, Turgan",,,,,,,,,
Tsagaannuur Tosgon,,,,,,,,,
Tsagaannuur Tosgon Center,,,,,,,,,
"Tsagaannuur Tosgon, Ortakul",,,,,,,,,
Ulaankhus Sum,,,,,,,,,
"Ulaankhus Sum, Baige Tobe",,,,,,,,,
"Ulaankhus Sum, Sogaq",,,,,,,,,
"Ulaankhus Sum, Tasty Bulaq",,,,,,,,,
